,Diabetic Retinopathy: Communication with the Physician Managing Ongoing Diabetes Care,142v4,0089,019,Percentage of patients aged 18 years and older with a diagnosis of diabetic retinopathy who had a dilated macular or fundus exam performed with documented communication to the physician who manages the ongoing care of the patient with diabetes mellitus regarding the findings of the macular or fundus exam at least once within 12 months,Communication and Care Coordination ,Process,American Medical Association-Physician Consortium for Performance Improvement,National Committee for Quality Assurance,-,X,-,X,-,X,X,Diabetic Retinopathy,-,-,-,-,X,-,Measure Specification Manuals
,Perioperative Care: Selection of Prophylactic Antibiotic – First OR Second Generation Cephalosporin,N/A,0268,021,"Percentage of surgical patients aged 18 years and older undergoing procedures with the indications for a first OR second generation cephalosporin prophylactic antibiotic, who had an order for a first OR second generation cephalosporin for antimicrobial prophylaxis",Patient Safety,Process,American Medical Association-Physician Consortium for Performance Improvement,National Committee for Quality Assurance,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Measure Specification Manuals
,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N/A,0271,022,"Percentage of non-cardiac surgical patients aged 18 years and older undergoing procedures with the indications for prophylactic parenteral antibiotics AND who received a prophylactic parenteral antibiotic, who have an order for discontinuation of prophylactic parenteral antibiotics within 24 hours of surgical end time",Patient Safety,Process,American Medical Association-Physician Consortium for Performance Improvement,National Committee for Quality Assurance,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Measure Specification Manuals
,Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),N/A,0239,023,"Percentage of surgical patients aged 18 years and older undergoing procedures for which VTE prophylaxis is indicated in all patients, who had an order for Low Molecular Weight Heparin (LMWH), Low-Dose Unfractionated Heparin (LDUH), adjusted-dose warfarin, fondaparinux or mechanical prophylaxis to be given within 24 hours prior to incision time or within 24 hours after surgery end time",Patient Safety,Process,American Medical Association-Physician Consortium for Performance Improvement,National Committee for Quality Assurance,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Measure Specification Manuals
,Communication with the Physician or Other Clinician Managing On-going Care Post-Fracture for Men and Women Aged 50 Years and Older,N/A,0045,024,"Percentage of patients aged 50 years and older treated for a fracture with documentation of communication, between the physician treating the fracture and the physician or other clinician managing the patient’s on-going care, that a fracture occurred and that the patient was or should be considered for osteoporosis treatment or testing. This measure is reported by the physician who treats the fracture and who therefore is held accountable for the communication",Communication and Care Coordination,Process,National Committee for Quality Assurance,American Medical Association-Physician Consortium for Performance Improvement,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Measure Specification Manuals
,Stroke and Stroke Rehabilitation: Discharged on Antithrombotic Therapy,N/A,0325,032,"Percentage of patients aged 18 years and older with a diagnosis of ischemic stroke or transient ischemic attack (TIA) with documented permanent, persistent, or paroxysmal atrial fibrillation who were prescribed an antithrombotic at discharge",Effective Clinical Care,Process,American Academy of Neurology,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Measure Specification Manuals
,Screening for Osteoporosis for Women Aged 65-85 Years of Age,N/A,0046,039,Percentage of female patients aged 65-85 years of age who ever had a central dual-energy X-ray absorptiometry (DXA) to check for osteoporosis,Effective Clinical Care,Process,National Committee for Quality Assurance,American Medical Association-Physician Consortium for Performance Improvement,-,X,-,-,-,X,X,Preventive Care,-,-,-,-,-,-,Measure Specification Manuals
,Osteoporosis: Pharmacologic Therapy for Men and Women Aged 50 Years and Older,N/A,N/A,041,Percentage of patients aged 50 years and older with a diagnosis of osteoporosis who were prescribed pharmacologic therapy within 12 months,Effective Clinical Care,Process,National Committee for Quality Assurance,American Medical Association-Physician Consortium for Performance Improvement,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Measure Specification Manuals
,Coronary Artery Bypass Graft (CABG): Use of Internal Mammary Artery (IMA) in Patients with Isolated CABG Surgery,N/A,0134,043, Percentage of patients aged 18 years and older undergoing isolated CABG surgery who received an IMA graft,Effective Clinical Care,Process,Society of Thoracic Surgeons,-,-,-,-,-,-,X,X,Coronary Artery Bypass Graft,-,-,-,-,-,-,Measure Specification Manuals
,Coronary Artery Bypass Graft (CABG): Preoperative Beta-Blocker in Patients with Isolated CABG Surgery,N/A,0236,044,Percentage of isolated Coronary Artery Bypass Graft (CABG) surgeries for patients aged 18 years and older who received a beta-blocker within 24 hours prior to surgical incision,Effective Clinical Care,Process,Centers for Medicare & Medicaid Services,Quality Insights of Pennsylvania,-,-,-,-,-,X,X,Coronary Artery Bypass Graft,-,-,-,-,-,-,Measure Specification Manuals
,Medication Reconciliation Post-Discharge,N/A,0097,046,"The percentage of discharges from any inpatient facility (e.g. hospital, skilled nursing facility, or rehabilitation facility) for patients 18 years and older of age seen within 30 days following discharge in the office by the physician, prescribing practitioner, registered nurse, or clinical pharmacist providing on-going care for whom the discharge medication list was reconciled with the current medication list in the outpatient medical record. 
This measure is reported as three rates stratified by age group: 

• Reporting Criteria 1: 18-64 years of age 
• Reporting Criteria 2: 65 years and older 
• Total Rate: All patients 18 years of age and older",Communication and Care Coordination,Process,National Committee for Quality Assurance,American Medical Association-Physician Consortium for Performance Improvement,-,X,-,-,-,-,X,-,X,-,-,-,-,-,Measure Specification Manuals
,Care Plan,N/A,0326,047,Percentage of patients aged 65 years and older who have an advance care plan or surrogate decision maker documented in the medical record or documentation in the medical record that an advance care plan was discussed but the patient did not wish or was not able to name a surrogate decision maker or provide an advance care plan.,Communication and Care Coordination,Process,National Committee for Quality Assurance,American Medical Association-Physician Consortium for Performance Improvement,-,X,-,-,-,X,X,"Chronic Kidney Disease
Heart Failure
HIV/AIDS
Parkinson's Disease
Chronic Obstructive Pulmonary Disorder 
Dementia
Multiple Chronic Conditions",X,-,-,-,-,-,Measure Specification Manuals
,Urinary Incontinence: Assessment of Presence or Absence of Urinary Incontinence in Women Aged 65 Years and Older,N/A,N/A,048,Percentage of female patients aged 65 years and older who were assessed for the presence or absence of urinary incontinence within 12 months,Effective Clinical Care,Process,National Committee for Quality Assurance,American Medical Association-Physician Consortium for Performance Improvement,-,X,-,-,-,X,X,Preventive Care,-,-,-,-,-,-,Measure Specification Manuals
,Urinary Incontinence: Plan of Care for Urinary Incontinence in Women Aged 65 Years and Older,N/A,N/A,050,Percentage of female patients aged 65 years and older with a diagnosis of urinary incontinence with a documented plan of care for urinary incontinence at least once within 12 months,Person and Caregiver-Centered Experience and Outcomes,Process,National Committee for Quality Assurance,American Medical Association-Physician Consortium for Performance Improvement,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Measure Specification Manuals
,Chronic Obstructive Pulmonary Disease (COPD): Spirometry Evaluation,N/A,0091,051,Percentage of patients aged 18 years and older with a diagnosis of COPD who had spirometry results documented,Effective Clinical Care,Process,American Thoracic Society,-,-,X,-,-,-,X,X,Chronic Obstructive Pulmonary Disorder,-,-,-,-,-,-,Measure Specification Manuals
,Chronic Obstructive Pulmonary Disease (COPD): Inhaled Bronchodilator Therapy,N/A,0102,052,Percentage of patients aged 18 years and older with a diagnosis of COPD and who have an FEV1 less than 60% predicted and have symptoms who were prescribed an inhaled bronchodilator.,Effective Clinical Care,Process,American Thoracic Society,-,-,X,-,-,-,X,X,Chronic Obstructive Pulmonary Disorder,-,-,-,-,-,-,Measure Specification Manuals
,Asthma: Pharmacologic Therapy for Persistent Asthma - Ambulatory Care Setting,N/A,0047,053,Percentage of patients aged 5 years and older with a diagnosis of persistent asthma who were prescribed long-term control medication,Effective Clinical Care,Process,"American Academy of Allergy, Asthma, and Immunology",American Medical Association-Physician Consortium for Performance Improvement,National Committee for Quality Assurance,-,-,-,-,X,X,Asthma,-,-,-,-,-,-,Measure Specification Manuals
,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,N/A,0090,054,Percentage of patients aged 40 years and older with an emergency department discharge diagnosis of non-traumatic chest pain who had a 12-lead electrocardiogram (ECG) performed,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,National Committee for Quality Assurance,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Measure Specification Manuals
,Appropriate Treatment for Children with Upper Respiratory Infection (URI),154v4,0069,065,Percentage of children 3 months through 18 years of age who were diagnosed with upper respiratory infection (URI) and were not dispensed an antibiotic prescription on or three days after the episode,Efficiency and Cost Reduction,Process,National Committee for Quality Assurance,-,-,-,-,X,-,-,X,-,-,-,-,-,X,-,Measure Specification Manuals
,Appropriate Testing for Children with Pharyngitis,146v4,0002,066,"Percentage of children 3-18 years of age who were diagnosed with pharyngitis, ordered an antibiotic and received a group A streptococcus (strep) test for the episode",Efficiency and Cost Reduction,Process,National Committee for Quality Assurance,-,-,-,-,X,-,-,X,-,-,-,-,-,X,-,Measure Specification Manuals
,Hematology: Myelodysplastic Syndrome (MDS) and Acute Leukemia: Baseline Cytogenetic Testing Performed on Bone Marrow,N/A,0377,067,Percentage of patients aged 18 years and older with a diagnosis of myelodysplastic syndrome (MDS) or an acute leukemia who had baseline cytogenetic testing performed on bone marrow,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American Society of Hematology,-,-,-,-,-,-,X,-,-,-,-,-,-,-,Measure Specification Manuals
,Hematology: Myelodysplastic Syndrome (MDS): Documentation of Iron Stores in Patients Receiving Erythropoietin Therapy,N/A,0378,068,Percentage of patients aged 18 years and older with a diagnosis of myelodysplastic syndrome (MDS) who are receiving erythropoietin therapy with documentation of iron stores within 60 days prior to initiating erythropoietin therapy,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American Society of Hematology,-,-,-,-,-,-,X,-,-,-,-,-,-,-,Measure Specification Manuals
,Hematology: Multiple Myeloma: Treatment with Bisphosphonates,N/A,0380,069,"Percentage of patients aged 18 years and older with a diagnosis of multiple myeloma, not in remission, who were prescribed or received intravenous bisphosphonate therapy within the 12-month reporting period",Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American Society of Hematology,-,-,-,-,-,-,X,-,-,-,-,-,-,-,Measure Specification Manuals
,Hematology: Chronic Lymphocytic Leukemia (CLL): Baseline Flow Cytometry,N/A,0379,070,Percentage of patients aged 18 years and older seen within a 12 month reporting period with a diagnosis of chronic lymphocytic leukemia (CLL) made at any time during or prior to the reporting period who had baseline flow cytometry studies performed and documented in the chart,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American Society of Hematology,-,-,-,-,-,-,X,-,-,-,-,-,-,-,Measure Specification Manuals
,Breast Cancer: Hormonal Therapy for Stage IC -IIIC Estrogen Receptor/Progesterone Receptor (ER/PR) Positive Breast Cancer,140v4,0387,071,"Percentage of female patients aged 18 years and older with Stage IC through IIIC, ER or PR positive breast cancer who were prescribed tamoxifen or aromatase inhibitor (AI) during the 12-month reporting period",Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American Society of Clinical Oncology,National Comprehensive Cancer Network,X,-,X,-,X,X,Oncology,-,-,-,-,X,-,Measure Specification Manuals
,Colon Cancer: Chemotherapy for AJCC Stage III Colon Cancer Patients,141v5,0385,072,"Percentage of patients aged 18 through 80 years with AJCC Stage III colon cancer who are referred for adjuvant chemotherapy, prescribed adjuvant chemotherapy, or have previously received adjuvant chemotherapy within the 12-month reporting period",Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American Society of Clinical Oncology,National Comprehensive Cancer Network,X,-,X,-,X,X,Oncology,-,-,-,-,X,-,Measure Specification Manuals
,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N/A,N/A,076,"Percentage of patients, regardless of age, who undergo central venous catheter (CVC) insertion for whom CVC was inserted with all elements of maximal sterile barrier technique, hand hygiene, skin preparation and, if ultrasound is used, sterile ultrasound techniques followed",Patient Safety,Process,American Society of Anesthesiologists,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Measure Specification Manuals
,Hepatitis C: Ribonucleic Acid (RNA) Testing Before Initiating Treatment,N/A,0395,084,Percentage of patients aged 18 years and older with a diagnosis of chronic hepatitis C who started antiviral treatment within the 12 month reporting period for whom quantitative hepatitis C virus (HCV) ribonucleic acid (RNA) testing was performed within 12 months prior to initiation of antiviral treatment,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American Gastroenterological Association,-,-,-,-,-,X,-,Hepatitis C,-,-,-,-,-,-,Measure Specification Manuals
,Hepatitis C: Hepatitis C Virus (HCV) Genotype Testing Prior to Treatment,N/A,0396,085,Percentage of patients aged 18 years and older with a diagnosis of chronic hepatitis C who started antiviral treatment within the 12 month reporting period for whom hepatitis C virus (HCV) genotype testing was performed within 12 months prior to initiation of antiviral treatment,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American Gastroenterological Association,-,-,-,-,-,X,-,Hepatitis C,-,-,-,-,-,-,Measure Specification Manuals
,Hepatitis C: Hepatitis C Virus (HCV) Ribonucleic Acid (RNA) Testing Between 4-12 Weeks After Initiation of Treatment,N/A,0398,087,Percentage of patients aged 18 years and older with a diagnosis of chronic hepatitis C who are receiving antiviral treatment for whom quantitative hepatitis C virus (HCV) ribonucleic acid (RNA) testing was performed between 4-12 weeks after the initiation of antiviral treatment,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American Gastroenterological Association,-,-,-,-,-,X,-,Hepatitis C,-,-,-,-,-,-,Measure Specification Manuals
,Acute Otitis Externa (AOE): Topical Therapy,N/A,0653,091,Percentage of patients aged 2 years and older with a diagnosis of AOE who were prescribed topical preparations,Effective Clinical Care,Process,American Academy of Otolaryngology-Head and Neck Surgery,-,-,X,-,-,-,X,X,Acute Otitis Externa (AOE) ,-,-,-,-,-,-,Measure Specification Manuals
,Acute Otitis Externa (AOE): Systemic Antimicrobial Therapy – Avoidance of Inappropriate Use,N/A,0654,093,Percentage of patients aged 2 years and older with a diagnosis of AOE who were not prescribed systemic antimicrobial therapy,Efficiency and Cost Reduction,Process,American Academy of Otolaryngology-Head and Neck Surgery,-,-,X,-,-,-,X,X,Acute Otitis Externa (AOE),-,-,-,-,-,-,Measure Specification Manuals
,Breast Cancer Resection Pathology Reporting: pT Category (Primary Tumor) and pN Category (Regional Lymph Nodes) with Histologic Grade,N/A,0391,099,"Percentage of breast cancer resection pathology reports that include the pT category (primary tumor), the pN category (regional lymph nodes), and the histologic grade",Effective Clinical Care,Process,College of American Pathologists,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Measure Specification Manuals
,Colorectal Cancer Resection Pathology Reporting: pT Category (Primary Tumor) and pN Category (Regional Lymph Nodes) with Histologic Grade,N/A,0392,100,"Percentage of colon and rectum cancer resection pathology reports that include the pT category (primary tumor), the pN category (regional lymph nodes) and the histologic grade",Effective Clinical Care,Process,College of American Pathologists,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Measure Specification Manuals
,Prostate Cancer: Avoidance of Overuse of Bone Scan for Staging Low Risk Prostate Cancer Patients,129v5,0389,102,"Percentage of patients, regardless of age, with a diagnosis of prostate cancer at low risk of recurrence receiving interstitial prostate brachytherapy, OR external beam radiotherapy to the prostate, OR radical prostatectomy, OR cryotherapy who did not have a bone scan performed at any time since diagnosis of prostate cancer",Efficiency and Cost Reduction,Process,American Medical Association-Physician Consortium for Performance Improvement,-,-,-,-,X,-,-,X,-,-,-,-,-,x,-,Measure Specification Manuals
,Prostate Cancer: Adjuvant Hormonal Therapy for High Risk or Very High Risk Prostate Cancer,N/A,0390,104,"Percentage of patients, regardless of age, with a diagnosis of prostate cancer at high or very high risk of recurrence receiving external beam radiotherapy to the prostate who were prescribed adjuvant hormonal therapy (GnRH [gonadotropin-releasing hormone] agonist or antagonist)",Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American Urological Association Education and Research,-,-,-,-,-,-,X,-,-,-,-,-,-,-,Measure Specification Manuals
,Adult Major Depressive Disorder (MDD): Suicide Risk Assessment,161v4,0104,107,Percentage of patients aged 18 years and older with a diagnosis of major depressive disorder (MDD) with a suicide risk assessment completed during the visit in which a new diagnosis or recurrent episode was identified,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,-,-,-,-,X,-,-,-,-,-,-,-,-,X,-,Measure Specification Manuals
,Rheumatoid Arthritis (RA): Disease Modifying Anti-Rheumatic Drug (DMARD) Therapy,N/A,0054,108,"Percentage of patients aged 18 years and older who were diagnosed with rheumatoid arthritis and were prescribed, dispensed, or administered at least one ambulatory prescription for a disease-modifying anti-rheumatic drug (DMARD).",Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,-,-,-,-,X,-,Rheumatoid Arthritis,-,-,-,-,-,-,Measure Specification Manuals
,Osteoarthritis (OA): Function and Pain Assessment,N/A,N/A,109,Percentage of patient visits for patients aged 21 years and older with a diagnosis of osteoarthritis (OA) with assessment for function and pain,Person and Caregiver-Centered Experience and Outcomes,Process,American Academy of Orthopedic Surgeons,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Measure Specification Manuals
,Preventive Care and Screening: Influenza Immunization ,147v5,0041,110,Percentage of patients aged 6 months and older seen for a visit between October 1 and March 31 who received an influenza immunization OR who reported previous receipt of an influenza immunization.,Community/Population Health,Process,American Medical Association-Physician Consortium for Performance Improvement,-,-,X,-,X,X,X,X,"Chronic Kidney Disease
Preventive Care
Chronic Obstructive Pulmonary Disorder
Oncology
Asthma 
Diabetes Mellitus
Heart Failure
Inflammatory Bowel Disease
Multiple Chronic Conditions ",X,X,-,-,X,-,Measure Specification Manuals
,Pneumonia Vaccination Status for Older Adults,127v4,0043,111,Percentage of patients 65 years of age and older who have ever received a pneumococcal vaccine.,Community/Population Health,Process,National Committee for Quality Assurance,-,-,X,-,X,X,X,X,"Preventive Care
Chronic Obstructive Pulmonary Disorder
Inflammatory Bowel Disease ",X,X,-,-,X,-,Measure Specification Manuals
,Breast Cancer Screening,125v4,2372,112,Percentage of women 50 through 74 years of age who had a mammogram to screen for breast cancer within 27 months,Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,X,-,X,X,X,X,Preventive Care,X,X,-,-,X,-,Measure Specification Manuals
,Colorectal Cancer Screening,130v4,0034,113,Percentage of patients 50 - 75 years of age who had appropriate screening for colorectal cancer,Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,X,-,X,X,X,X,Preventive Care,-,-,-,-,X,-,Measure Specification Manuals
,Antibiotic Treatment for Adults with Acute Bronchitis: Avoidance of Inappropriate Use,N/A,0058,116,Percentage of adults 18 through 64 years of age with a diagnosis of acute bronchitis who were not prescribed or dispensed an antibiotic prescription on or 3 days after the episode,Efficiency and Cost Reduction,Process,National Committee for Quality Assurance,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,Measure Specification Manuals
,Diabetes: Eye Exam,131v4,0055,117,Percentage of patients 18 - 75 years of age with diabetes who had a retinal or dilated eye exam by an eye care professional during the measurement period or a negative retinal or dilated eye exam (no evidence of retinopathy) in the 12 months prior to the measurement period,Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,X,-,X,X,X,X,"Diabetes Mellitus
Diabetic Retinopathy",-,X,-,-,X,-,Measure Specification Manuals
,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N/A,0066,118,Percentage of patients aged 18 years and older with a diagnosis of coronary artery disease seen within a 12 month period who also have diabetes OR a current or prior Left Ventricular Ejection Fraction (LVEF) < 40% who were prescribed ACE inhibitor or ARB therapy,Effective Clinical Care,Process,American College of Cardiology,American Heart Association,American Medical Association-Physician Consortium for Performance Improvement,-,-,-,X,-,X,-,-,X,-,-,-,-,Measure Specification Manuals
,Diabetes: Medical Attention for Nephropathy,134v4,0062,119,The percentage of patients 18-75 years of age with diabetes who had a nephropathy screening test or evidence of nephropathy during the measurement period,Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,-,-,X,-,X,X,Diabetes Mellitus,-,-,-,-,X,-,Measure Specification Manuals
,Adult Kidney Disease: Laboratory Testing (Lipid Profile),N/A,N/A,121,"Percentage of patients aged 18 years and older with a diagnosis of chronic kidney disease (CKD) (stage 3, 4, or 5, not receiving Renal Replacement Therapy [RRT]) who had a fasting lipid profile performed at least once within a 12-month period",Effective Clinical Care,Process,Renal Physicians Association,-,-,-,-,-,-,X,X,Chronic Kidney Disease,-,-,-,-,-,-,Measure Specification Manuals
,Adult Kidney Disease: Blood Pressure Management,N/A,N/A,122,"Percentage of patient visits for those patients aged 18 years and older with a diagnosis of chronic kidney disease (CKD) (stage 3, 4, or 5, not receiving Renal Replacement Therapy [RRT]) with a blood pressure < 140/90 mmHg OR ≥ 140/90 mmHg with a documented plan of care",Effective Clinical Care, Intermediate Outcome,Renal Physicians Association,-,-,-,-,-,-,X,X,Chronic Kidney Disease,-,-,X,-,-,-,Measure Specification Manuals
,"Diabetes Mellitus: Diabetic Foot and Ankle Care, Peripheral Neuropathy –
Neurological Evaluation",N/A,0417,126,Percentage of patients aged 18 years and older with a diagnosis of diabetes mellitus who had a neurological examination of their lower extremities within 12 months,Effective Clinical Care,Process,American Podiatric Medical Association,-,-,-,-,-,-,X,X,Diabetes Mellitus,-,-,-,-,-,-,Measure Specification Manuals
,"Diabetes Mellitus: Diabetic Foot and Ankle Care, Ulcer Prevention – Evaluation of Footwear",N/A,0416,127,Percentage of patients aged 18 years and older with a diagnosis of diabetes mellitus who were evaluated for proper footwear and sizing,Effective Clinical Care,Process,American Podiatric Medical Association,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,Measure Specification Manuals
,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,69v4,0421,128,"Percentage of patients aged 18 years and older with a BMI documented during the current encounter or during the previous six months AND with a BMI outside of normal parameters, a follow-up plan is documented during the encounter or during the previous six months of the current encounter

Normal Parameters: Age 65 years and older BMI ≥ 23 and < 30 kg/m2; Age 18 – 64 years BMI ≥ 18.5 and < 25 kg/m2",Community/Population Health,Process,Centers for Medicare & Medicaid Services,Mathematica,Quality Insights of Pennsylvania,X,-,X,X,X,X,"Preventive Care
Sleep Apnea
Asthma
Rheumatoid Arthritis
Coronary Artery Disease
Multiple Chronic Conditions
",X,X,-,-,X,-,Measure Specification Manuals
,Documentation of Current Medications in the Medical Record,68v5,0419,130,"Percentage of visits for patients aged 18 years and older for which the eligible professional attests to documenting a list of current medications using all immediate resources available on the date of the encounter. This list must include ALL known prescriptions, over-the-counters, herbals, and vitamin/mineral/dietary (nutritional) supplements AND must contain the medications’ name, dosage, frequency and route of administration.",Patient Safety,Process,Centers for Medicare & Medicaid Services,Mathematica,Quality Insights of Pennsylvania,X,-,X,X,X,X,"Chronic Kidney Disease
Oncology
Chronic Obstructive Pulmonary Disorder
Cataracts
General Surgery
Heart Failure
Hepatitis C
Sinusitis 
Sleep Apnea
Total Knee Replacement
Asthma
Acute Otitis Externa (AOE)
Coronary Artery Disease
Cardiovascular Prevention
Diabetic Retinopathy
Multiple Chronic Conditions",X,X,-,-,X,-,Measure Specification Manuals
